,id,rated,variant,speed,createdAt,lastMoveAt,status,winner,moves,clock,white_player_name,white_ranking,black_player_name,black_ranking
112,EE1fP1If,False,standard,blitz,2022-12-19 16:32:47.984000+01:00,2022-12-19 16:38:52.158000+01:00,resign,black,27,300,YoungCapitan,1424,EvilSaintPL,1735
113,1Ztf8Jtr,False,standard,blitz,2022-12-19 16:23:06.258000+01:00,2022-12-19 16:32:42.051000+01:00,outoftime,black,46,300,EvilSaintPL,1735,YoungCapitan,1424
114,rEOeegsw,False,standard,blitz,2022-12-19 16:14:31.719000+01:00,2022-12-19 16:22:52.129000+01:00,mate,white,29,300,YoungCapitan,1424,EvilSaintPL,1735
115,ckBwuSM1,False,standard,blitz,2022-12-19 16:04:59.855000+01:00,2022-12-19 16:14:25.396000+01:00,mate,white,35,300,EvilSaintPL,1735,YoungCapitan,1424
116,7s2wNLAQ,False,standard,blitz,2022-12-19 15:59:00.429000+01:00,2022-12-19 16:04:54.571000+01:00,mate,black,33,300,YoungCapitan,1424,EvilSaintPL,1735
117,ZfCUY893,False,standard,blitz,2022-12-09 00:01:31.767000+01:00,2022-12-09 00:05:42.430000+01:00,resign,black,21,300,EvilSaintPL,1735,YoungCapitan,1432
118,UK7yP3tl,False,standard,blitz,2022-12-08 23:53:16.698000+01:00,2022-12-09 00:01:26.690000+01:00,resign,black,31,300,YoungCapitan,1432,EvilSaintPL,1735
119,TjnEhfyp,True,standard,blitz,2022-09-25 00:59:26.010000+02:00,2022-09-25 01:09:44.611000+02:00,outoftime,white,48,300,EvilSaintPL,1728,fury-1987,1738
120,K7Mz1Nnw,True,standard,blitz,2022-09-24 23:50:24.177000+02:00,2022-09-24 23:57:02.066000+02:00,resign,white,33,300,EvilSaintPL,1723,Rafael_Pfutz,1709
121,2w4dvPkq,True,standard,blitz,2022-09-24 23:46:14.337000+02:00,2022-09-24 23:49:49.249000+02:00,resign,white,14,300,Djangolo,1719,EvilSaintPL,1729
122,9aaA9Qr2,True,standard,blitz,2022-09-24 21:01:24.298000+02:00,2022-09-24 21:05:03.194000+02:00,resign,white,26,300,EvilSaintPL,1724,Saen_da,1673
123,KlV68FVw,True,standard,blitz,2022-09-22 14:53:32.799000+02:00,2022-09-22 14:59:29.662000+02:00,resign,white,35,300,akella64,1669,EvilSaintPL,1731
124,ISq4iKqL,True,standard,blitz,2022-09-22 14:43:52.013000+02:00,2022-09-22 14:53:27.461000+02:00,outoftime,black,49,300,EvilSaintPL,1737,sebastianwba,1733
125,ahNJVEXl,False,standard,blitz,2022-09-14 21:35:34.742000+02:00,2022-09-14 21:37:48.991000+02:00,mate,white,16,240,EvilSaintPL,1737,unknown,0
126,EdUtJuMI,True,standard,blitz,2022-09-13 00:47:06.874000+02:00,2022-09-13 00:53:14.171000+02:00,resign,white,34,300,EvilSaintPL,1731,borovac,1771
127,tUhlKehO,True,standard,blitz,2022-09-13 00:43:55.190000+02:00,2022-09-13 00:46:59.232000+02:00,mate,white,23,300,chennani,1796,EvilSaintPL,1736
128,k2DhWw1w,True,standard,blitz,2022-09-13 00:40:23.939000+02:00,2022-09-13 00:43:42.618000+02:00,resign,white,19,300,elnikovalaro,1740,EvilSaintPL,1742
129,2Aq8vc3E,True,standard,blitz,2022-09-13 00:38:39.516000+02:00,2022-09-13 00:40:10.180000+02:00,resign,black,14,300,LetsGoBrandon123,1660,EvilSaintPL,1737
130,2L7paXvO,True,standard,blitz,2022-09-13 00:32:07.730000+02:00,2022-09-13 00:38:22.558000+02:00,resign,white,31,300,EvilSaintPL,1731,Rena65,1725
131,aIv7fbXS,True,standard,blitz,2022-09-02 19:44:14.555000+02:00,2022-09-02 19:48:52.171000+02:00,resign,white,24,300,EvilSaintPL,1725,dan449,1770
132,5sCYOpwH,True,standard,blitz,2022-09-02 19:40:58.291000+02:00,2022-09-02 19:44:10.476000+02:00,mate,white,24,300,paris_barkouzos79,1741,EvilSaintPL,1730
133,MiR7DaQU,True,standard,blitz,2022-09-02 19:38:24.785000+02:00,2022-09-02 19:40:50.412000+02:00,resign,white,17,300,mohsenturk,1719,EvilSaintPL,1736
134,UH9b0bdy,True,standard,blitz,2022-09-02 16:12:03.412000+02:00,2022-09-02 16:13:45.325000+02:00,resign,white,18,300,EvilSaintPL,1730,WME3030,1740
135,jy3uJFhY,True,standard,blitz,2022-09-02 16:07:54.715000+02:00,2022-09-02 16:11:35.370000+02:00,resign,black,19,300,EvilSaintPL,1736,Rigoberta,1721
136,EwtiVys7,True,standard,blitz,2022-09-02 16:06:59.185000+02:00,2022-09-02 16:07:47.015000+02:00,resign,white,9,300,KIRILL_BIGBISON,1713,EvilSaintPL,1742
